,ReviewID,groupQuality
0,1.0,G1
1,2.0,G1
2,3.0,G1
3,4.0,G4
4,5.0,G4
5,6.0,G4
6,7.0,G4
7,8.0,G4
8,9.0,G4
9,10.0,G1
10,11.0,G4
11,12.0,G2
12,13.0,G2
13,14.0,G1
14,15.0,G4
15,16.0,G4
16,17.0,G2
17,18.0,G4
18,19.0,G2
19,20.0,G2
20,21.0,G1
21,22.0,G2
22,23.0,G4
23,24.0,G2
24,25.0,G2
25,26.0,G4
26,27.0,G2
27,28.0,G4
28,29.0,G4
29,30.0,G1
30,31.0,G1
31,32.0,G4
32,33.0,G4
33,34.0,G4
34,35.0,G4
35,36.0,G4
36,37.0,G2
37,38.0,G2
38,39.0,G4
39,40.0,G4
40,41.0,G4
41,42.0,G4
42,43.0,G1
43,44.0,G4
44,45.0,G4
45,46.0,G4
46,47.0,G4
47,48.0,G4
48,49.0,G4
49,50.0,G4
50,51.0,G4
51,52.0,G4
52,53.0,G4
53,54.0,G4
54,55.0,G4
55,56.0,G4
56,57.0,G4
57,58.0,G4
58,59.0,G4
59,60.0,G4
60,61.0,G4
61,62.0,G4
62,63.0,G2
63,64.0,G2
64,65.0,G4
65,66.0,G4
66,67.0,G4
67,68.0,G4
68,69.0,G1
69,70.0,G4
70,71.0,G4
71,72.0,G4
72,73.0,G4
73,74.0,G4
74,75.0,G4
75,76.0,G4
76,77.0,G4
77,78.0,G4
78,79.0,G4
79,80.0,G4
80,81.0,G4
81,82.0,G4
82,83.0,G4
83,84.0,G4
84,85.0,G4
85,86.0,G4
86,87.0,G4
87,88.0,G4
88,89.0,G2
89,90.0,G2
90,91.0,G4
91,92.0,G4
92,93.0,G4
93,94.0,G4
94,95.0,G1
95,96.0,G4
96,97.0,G4
97,98.0,G4
98,99.0,G4
99,100.0,G4
100,13.0,G2
