ReviewID,FeatureID,n
1,1,1
1,2,1
1,3,1
1,5,1
1,7,1
1,10,1
1,18,1
2,2,1
2,4,1
2,5,1
2,7,1
2,12,1
2,18,1
3,2,1
3,3,1
3,1,1
3,5,1
3,7,1
3,10,1
4,15,1
4,16,1
4,22,1
5,6,1
5,14,1
6,17,1
6,19,1
6,20,1
6,23,1
7,9,1
7,22,1
8,21,1
8,11,1
8,6,1
8,4,1
9,24,1
9,21,1
10,3,1
10,5,1
10,7,1
11,16,1
12,17,1
12,10,1
12,1,1
13,1,1
13,2,1
13,3,1
13,4,1
14,7,1
14,6,1
14,9,1
14,12,1
14,13,1
14,14,1
14,24,1
15,23,1
15,24,1
16,24,1
17,1,1
17,2,1
17,3,1
18,9,1
18,14,1
19,1,1
19,4,1
19,5,1
19,24,1
20,2,1
20,1,1
21,1,1
21,6,1
21,7,1
21,8,1
22,1,1
23,3,1
24,1,1
24,5,1
24,10,1
24,24,1
25,1,1
26,3,1
27,1,1
27,2,1
27,3,1
28,10,1
28,11,1
29,24,1
29,21,1
30,7,1
30,21,1
31,25,1
31,26,1
31,7,1
32,25,1
33,26,1
34,26,1
34,4,1
35,3,1
36,25,1
36,13,1
37,1,1
38,2,1
39,3,1
40,4,1
41,5,1
42,6,1
43,7,1
44,8,1
45,9,1
46,10,1
47,11,1
48,12,1
49,13,1
50,14,1
51,15,1
52,16,1
53,17,1
54,18,1
55,19,1
56,20,1
57,21,1
58,22,1
59,23,1
60,24,1
61,25,1
62,26,1
63,1,1
64,2,1
65,3,1
66,4,1
67,5,1
68,6,1
69,7,1
70,8,1
71,9,1
72,10,1
73,11,1
74,12,1
75,13,1
76,14,1
77,15,1
78,16,1
79,17,1
80,18,1
81,19,1
82,20,1
83,21,1
84,22,1
85,23,1
86,24,1
87,25,1
88,26,1
89,1,1
90,2,1
91,3,1
92,4,1
93,5,1
94,6,1
95,7,1
96,8,1
97,9,1
98,10,1
99,11,1
100,12,1
81,11,1
82,12,1
83,13,1
84,14,1
85,15,1
86,16,1
87,17,1
88,18,1
85,20,1
86,21,1
87,22,1
88,23,1
89,24,1
90,25,1
91,26,1
92,13,1
